Tidstämpel,Which task does this form consider?,What is the level of your group?,Did you find this task engaging?,"OPTIONAL: Comment on the level of engagment (what was the least engaging part, anything you'd change, etc):","How many hours did you spend on this exercise? If more than ten, please leave a comment.","OPTIONAL: Comment on the time consumption (did you find something confusing, were there a lack of examples, etc):",How  would you rate the difficulty of this exercise?,"OPTIONAL: Comment on the task difficulty (if something was particularly easy or hard, suggestions etc)",OPTIONAL: Any other feedback that comes in mind that could improve the task:
2022-09-17 10.52.39,2,Beginner,6,,8,Is was difficult to to understand task 2.4.,6,,
2022-09-17 20.51.02,2,Beginner,5,,10,,7,,
2022-09-19 07.42.09,2,Beginner,4,,10,,6,,
2022-09-19 10.14.23,2,"Beginner, Regular",6,,10,Constructs were (and still are) super confusing. The attack damege function still pussels me.,7,Rewitiing code.,
2022-09-19 20.25.29,2,Regular,5,,3,,3,,
2022-09-19 20.26.18,3,Regular,6,,2,,2,,
2022-09-23 13.18.29,3,Regular,5,,1,,3,,
2022-09-23 13.18.52,3,Regular,5,,2,,4,,
2022-09-23 13.18.58,3,Regular,4,,4,,3,,
2022-09-23 13.19.03,3,Regular,6,,3,,3,,
2022-09-23 13.19.07,3,Regular,7,I think the reverse engineering task was really fun and I'd love to see more reverse engineering tasks in the future,2,,2,I already understand if else statements from working in python so my only problems were working with the syntax of the area and triangle type methods.,
2022-09-23 13.19.08,3,Regular,6,,10,,7,Fortfarande svårt med fackspråket. Gör det lite svårare att kunna lösa övningarna ,
2022-09-23 13.19.14,3,Regular,4,,4,,2,,
2022-09-23 13.19.14,3,Regular,3,,3,,2,,
2022-09-23 13.19.19,3,Regular,5,,4,,4,,
2022-09-23 13.19.24,3,Regular,4,Dunno,5,"No
",4,"It was fun, should've been more to do",^^
2022-09-23 13.19.51,3,Regular,5,,3,,3,,
2022-09-23 13.19.57,3,Regular,4,It felt a lot simpler than task 2 with fewer points where I had to think and look up solutions,3,,3,,
2022-09-23 13.20.34,3,Regular,6,,4,,3,,Fun task with math in java
2022-09-23 14.06.13,3,Beginner,7,,3,,4,,
2022-09-23 14.06.18,3,Beginner,5,,5,,4,,
2022-09-23 14.06.20,3,Beginner,6,,4,,5,,
2022-09-23 14.06.31,3,Beginner,5,,4,,3,,
2022-09-23 14.06.48,3,Beginner,6,,6,,5,,
2022-09-23 14.08.00,3,Beginner,3,,1,,1,,
2022-09-23 14.08.16,3,Beginner,6,,6,,3,,
2022-09-23 14.08.29,3,Beginner,7,,5,,3,,
2022-09-23 14.09.00,3,Beginner,6,,4,,5,,
2022-09-23 14.09.27,3,Beginner,4,"3.1 and 3.3, ""validTriangle"" and ""getArea""",5,"In the beginning of the rectangle program i was kind of confused, but realised quick how we had done most of it before and looking at what was already written, you could finish the code pretty easily.",4,"understanding how boolean expressions need to be, some very small changes will make the program misunderstand or not work at all.",
2022-09-23 14.10.55,3,Beginner,7,I thought everything was fun and I learned a lot from it.,4,"Yeah, there was something confusing in the structions.",3,,
2022-09-23 14.11.29,3,Beginner,4,,4,,4,,
2022-09-23 14.11.31,3,Beginner,5,,3,,3,,
2022-09-23 15.11.47,3,Regular,3,,2,,2,,
2022-09-23 15.12.07,3,Regular,3,,2,Okay,2,,
2022-09-23 15.12.14,3,Regular,7,,4,,2,,
2022-09-23 15.12.19,3,Regular,6,,3,,3,,
2022-09-23 15.12.34,3,Regular,5,,3,,1,,
2022-09-23 15.12.46,3,Regular,5,,2,,2,,
2022-09-23 15.13.50,3,Regular,6,,5,,5,,The format of the last exercise was really good and appreciated!
2022-09-23 15.14.53,3,Regular,4,,8,I found it this task in particular to be quite confusing as I’m still not fully sure about last weeks learning goals. This task expected me to understand why I was supposed to implement  constructors and access modifiers while learning  the new concepts for this week. ,7,,
2022-09-23 15.17.25,3,Regular,3,Much easier than before; this relates alot more to math we know,2,,1,,Why do we learn classes and methods before this?
2022-09-23 15.24.47,4,Regular,4,,2,,2,,
2022-09-23 15.25.00,3,Regular,5,,2,,2,,
2022-09-23 15.25.00,3,Regular,4,,3,,4,,
2022-09-23 15.25.14,2,Regular,4,,8,,5,,
2022-09-23 15.25.25,3,Regular,4,,3,,3,,
2022-09-23 15.25.28,3,Regular,7,,4,,5,,
2022-09-23 15.25.36,3,Regular,4,,2,,2,,
2022-09-23 15.25.37,3,Regular,4,,2,,2,,
2022-09-23 15.25.40,3,Regular,7,,10,,7,,
2022-09-23 15.26.00,3,Regular,4,,10,,7,Too hard,"Extremely hard, make it easier!"
2022-09-23 15.26.02,3,Regular,5,,3,,3,,
2022-09-23 15.26.22,3,Regular,4,,2,,3,,
2022-09-23 15.26.29,3,Regular,4,,1,,2,,
2022-09-23 15.26.37,3,Regular,3,,3,,1,,
2022-09-23 15.27.03,3,Regular,4,,2,,3,,
2022-09-23 15.27.03,3,Regular,3,,6,,3,,
2022-09-23 15.29.12,3,Regular,6,,3,Perhaps more examples of converting on data form into another.,4,More on some of the more subtle nuances of constructors. When things are initialized. Methods in constructor etc.,nope
2022-09-23 15.40.26,3,Regular,5,,9,,2,,
2022-09-23 15.47.59,3,Regular,7,"i think it was pretty fun and everything that we needed to know to solve the problem was in oli. Compared to assignment 2 where it didnt say anywhere on oli that you could put object as values in the parameter, which made it really hard to solve assignment 2.",6,"nope, none at all.",4,its perfect,"nope, its litterally perfect."
2022-09-23 15.57.10,3,Regular,6,,3,,3,,
2022-09-23 15.57.56,3,Regular,5,,2,,4,,
2022-09-23 15.58.04,3,Regular,7,,2,,3,,
2022-09-23 15.58.07,3,Regular,4,,2,,2,,
2022-09-23 15.58.45,3,Beginner,4,,3,,3,,
2022-09-23 15.59.31,3,Regular,6,,3,,4,,
2022-09-23 15.59.36,3,Regular,4,,3,,2,,
2022-09-23 16.00.30,3,Regular,3,,2,,1,"Pretty easy task, but still quite nice to learn syntax",
2022-09-23 16.01.40,3,Regular,5,,6,"I found some aspects of the exercise time consuming, some of the parts of the exercise for example if we needed to use a helper method or if it was optional was a bit unclear. ",5,,
2022-09-23 16.01.48,3,Regular,6,,4,Needed to check when there were issues of mixups or double/string/int,4,Had to find out yourself how to do stuff,A bit more resources to inform and help
2022-09-23 16.50.36,3,Regular,2,,1,,2,,
2022-09-23 16.51.45,2,Regular,5,,3,,5,,
2022-09-23 17.01.32,3,Beginner,6,,4,,4,,
2022-09-23 17.07.06,3,Regular,3,,2,,2,,
2022-09-23 17.10.29,3,Beginner,3,,2,,2,"A bit too easy in my opinion, I would add a bit more work",
2022-09-23 18.56.22,3,Beginner,5,,8,,5,,
2022-09-23 21.54.13,3,Beginner,4,It was very mediocre in engagement but still really helpful. ,4,It as much easier than the last task but only because the last one took much more time to do. And because we learned a lot on the last one,4,"It was really well made and easy to understand. It got me thinking more in ""java"" and made me understand how to use integers more deeply. ",
2022-09-28 16.17.11,4,Regular,5,,4,,4,,
2022-09-28 17.09.30,4,Regular,3,Too repetitious,8,no explanation for how to use % to solve 4.3.5,5,couldn't solve 4.3.5 with %,
2022-09-29 20.33.50,4,Regular,6,,7,"I would like to see an exemple of the ""toString""-method",5,,
2022-09-30 09.51.05,4,Regular,4,,1,,3,,
2022-09-30 13.12.38,4,Regular,4,,2,,3,,
2022-09-30 13.12.58,4,Regular,5,Clock was fun,2,,4,,
2022-09-30 13.13.55,4,Regular,4,,4,"It's kind of hard to understand what the individual exercises wants, or expects me to do sometimes.",5,,
2022-09-30 13.16.16,4,Regular,4,,6,More information about modulo would have been nice and format (zero padding) as well as rounding. ,5,,
2022-09-30 13.31.31,4,Regular,6,,4,,3,,
2022-09-30 14.06.05,4,Beginner,5,,7,,6,,
2022-09-30 14.06.19,4,Beginner,6,,6,,7,,
2022-09-30 14.06.49,4,Beginner,5,none,3,"Lack of examples yes, i had to figure it out by thinking really hard",4,,
2022-09-30 14.07.11,4,Beginner,4,,7,,6,,
2022-09-30 14.07.11,4,Beginner,5,,6,,6,,
2022-09-30 14.07.12,4,Beginner,7,,8,,6,,"possibly more elaborated instructions. sometimes I find myself struggling with understanding what's sought after, now writing the actual code. "
2022-09-30 14.07.13,4,Beginner,7,the clock.java project ,8,toString method and Tick method were confusing ,6,getting started on both toString and Tick methods,
2022-09-30 14.07.48,4,Beginner,7,,6,,6,The first couple of exercises ,
2022-09-30 14.09.30,4,Beginner,4,,10,I think the examples made the task more confusing in some cases. It also took a lot of re-reading to understand exactly what I was supposed to do. More than usual.,7,"The OLI task was not that helpful this time, and the lecture didn't cover everything as well as before.",
2022-09-30 14.10.18,4,Beginner,4,,7,I personal think it could be more example on the clock assignment. I had a lot of trouble with understand what I was suppose to do but also how to write it. ,5,"The first assignment (4.1.1-4.1.3) was easy and you could solve it fast. The second task was a bit harder, because it was something new but you could somehow solve it. The third in my opinion was very hard, both understand what to do and how to do it correctly. Maybe if the clock could have some more info/example. ",
2022-09-30 15.03.48,4,Regular,4,,3,,3,,
2022-09-30 15.16.36,4,Regular,4,,2,,2,,
2022-09-30 15.16.41,4,Regular,6,,6,,5,,
2022-09-30 15.17.09,3,Regular,6,,2,,2,,
2022-09-30 15.17.11,4,Regular,5,,5,,4,,
2022-09-30 15.17.26,4,Regular,4,"No, it was quite engaging.",3,nope it was a good task.,3,,
2022-09-30 15.17.30,4,Regular,5,,4,,3,,
2022-09-30 15.18.53,4,Regular,5,,10,I found the last assignment on this task to be very hard and I didn’t really feel like I couldn’t the code with the knowledge I have thus far.,7,I found the logic behind the Clock one quite hard to understand which made the whole experience kind of frustrating.,Perhaps a more through explaination
2022-09-30 15.20.10,4,Regular,3,"It was my first time trying Jshell, so trying to figure out how it worked was engaging. 

Other than that, looping was very familiar to me so the content was mostly repetition",3,,2,It helped getting to know string concatenation with the FizzBuzz example,
2022-09-30 15.23.15,4,Regular,4,,3,,3,,
2022-09-30 15.23.27,4,Regular,5,,4,,3,,
2022-09-30 15.23.35,4,Regular,5,,8,,4,,
2022-09-30 15.23.37,4,Regular,7,,6,,6,,
2022-09-30 15.23.51,5,Regular,5,,3,,4,,
2022-09-30 15.23.55,4,Regular,3,,3,,3,,
2022-09-30 15.24.29,4,Regular,6,,7,,4,Good excersise combining things covered thus far,
2022-09-30 15.24.46,7,Regular,5,the clock was hard.,10,,6,,
2022-09-30 15.25.20,4,Regular,5,"This one gave us a little less instructions than the last, which forced us to think a bit more about how to solve the problems and what we were actually doing.",4,"As I mentioned previously I felt like we received a little less specific instructions for some of the exercises, which was fun but more time consuming because it required me to think more about how to solve the issue. I also felt like there were a lot more exercises to get through this week compared to previous weeks, but not anything extreme it still felt like quite a natural step from last week.",3,,
2022-09-30 15.25.54,4,Regular,5,,8,,3,I  thought that it was difficult to figure out how to use nested if statements,Maybe provide some additional information on how the modulo opperator can be used.
2022-09-30 15.25.59,4,Beginner,6,,5,,5,,
2022-09-30 15.26.06,4,Regular,4,,2,,4,,
2022-09-30 15.29.44,4,Regular,6,,7,,6,,
2022-09-30 15.43.59,4,Regular,4,,3,,2,,
2022-09-30 16.09.24,4,Regular,6,,8,,5,,
2022-09-30 16.10.09,4,Regular,4,,4,Some of the instructions regarding the way the second constructor for Clock.java were a bit unclear and caused confusion.,4,,
2022-09-30 16.10.26,4,Regular,4,"Loops was a bit tedious but clock was pretty cool. I liked the tick function, it's like thing are actually happening.",3,,3,,
2022-09-30 16.10.30,4,Regular,5,,3,,6,,
2022-09-30 16.10.35,4,Regular,7,,5,,5,,
2022-09-30 16.10.58,4,Regular,5,,4,,6,,
2022-09-30 16.11.48,2,"Regular, I don't know",6,,5,I didn,4,,
2022-09-30 16.13.03,4,Regular,5,,3,,3,,
2022-09-30 16.13.49,4,Regular,4,,5,,4,,
2022-09-30 16.15.48,4,Regular,3,Using modulo in the Tick method did not result in cleaner code. Remove the comment about it.,5,Trying to figure out how to format a string from the Oracle website was hellish.,5,,
2022-09-30 16.16.10,4,Regular,5,,6,,5,"I think it was hard to fix errors mostly and the instructions could be a little bit clearer. But there were many ways to complete the task. Therefore you could think of many different solutions which made it a little bit easier.
",
2022-09-30 16.19.07,4,Regular,5,,3,,4,,
2022-09-30 17.24.56,4,Beginner,6,,3,,4,,
2022-10-02 17.12.45,5,Regular,5,Nice to combine the task with SetTheory from diskmatte!,2,"Have used arrays with matlab before, so it was kinda familiar for me.",2,"the cardinality methods were way to easy, if I did right. You can just juste the size method.",
2022-10-04 23.18.11,5,Regular,5,,5,,4,,
2022-10-05 09.16.36,3,"Beginner, Regular",6,,10,Most everything,7,,More sub exercises like task 4
2022-10-05 09.19.04,4,"Beginner, Regular",7,Liked the structure.,10,Logic errors and for loops.,6,Logic errors and for loops.,Best structure so far
2022-10-05 22.25.32,5,Regular,6,,7,,5,,
2022-10-07 13.03.56,5,Regular,6,,4,,3,,
2022-10-07 13.04.17,5,Regular,6,,5,,6,,
2022-10-07 13.04.53,5,Regular,5,Its fun when there are many ways to solve the task and u have to pick which youll go with,2,,4,,
2022-10-07 14.00.44,5,Regular,7,,2,,4,,
2022-10-07 14.01.25,5,Beginner,6,,4,,4,,
2022-10-07 14.02.16,5,"Beginner, Regular",5,,7,,3,,
2022-10-07 14.03.56,5,Beginner,3,,3,,3,,
2022-10-07 14.06.28,5,Beginner,7,,8,,6,,
2022-10-07 14.06.34,5,Beginner,4,,7,,7,,
2022-10-07 14.07.39,5,Regular,4,,3,,4,,
2022-10-07 14.08.11,5,Beginner,7,"5.1, 5.4, 5.5",8,,7,,
2022-10-07 14.08.16,5,Beginner,5,,8,,5,,
2022-10-07 14.08.42,5,Beginner,6,Getting started ,10,"Had some difficulties getting started with some tasks, but after that it went kinda smooth. Sometimes im unsure of what i should add other than what the instructions say",5,,
2022-10-07 14.08.44,5,Beginner,7,,4,,4,,
2022-10-07 14.09.38,5,Beginner,3,,2,,2,I think it should be a bit harder,
2022-10-07 14.09.58,5,Beginner,4,,7,,4,Some parts was easy to understand but other parts was a bit tricky (evenNumbers and reverse). The SetTheory was easier to understand then Array if you had the oracle page so you could look things up.  ,"The gaol was to understand static word and in my opinion, I don't think I have learnt how that works. The others are fine! "
2022-10-07 14.10.45,5,Beginner,6,,6,,7,,
2022-10-07 14.11.21,5,Beginner,7,,5,,4,,
2022-10-07 14.21.16,5,"Beginner, Regular",6,,5,"using a for loop inside a for loop, which was how i solved the intersection exercise.",5,"using a for loop inside a for loop, which was how i solved the intersection exercise.","Feel like I'm starting to get a hang of programing now == fastest, eisiest and least painfull task as of yet."
2022-10-07 14.52.51,5,"Beginner, Regular",5,,4,,5,,
2022-10-07 14.55.47,5,"Regular, Plus",5,,4,,4,,
2022-10-07 14.55.57,5,Plus,5,,1,,3,,
2022-10-07 14.56.22,5,Plus,6,,2,,3,,
2022-10-07 14.56.39,5,Regular,7,,2,,3,,
2022-10-07 14.57.27,5,Plus,6,,3,,2,,
2022-10-07 14.57.34,5,"Regular, Plus",4,,1,,4,,
2022-10-07 14.57.39,5,"Regular, Plus",5,,1,,3,,
2022-10-07 14.57.39,5,"Regular, Plus",5,,2,,4,,
2022-10-07 14.58.01,5,"Regular, Plus",5,,3,Did most of the task in 2 hours and then realized something was wrong and fixed it,4,"Mostly easy, some errors were difficult to find the solution to. ",
2022-10-07 14.58.06,5,Plus,5,Personally I am very interested in arrays. Only wish I was able to dig a bit deeper into the different specific methods of ArrayLists such as removeAll() and such,2,,2,Most of it was pretty easy but some questions had some tricky parts ,Again I feel like introducing some of the methods inherent to arraylists would be nice. 
2022-10-07 14.58.33,5,Plus,4,,2,,3,,It was good. I like how it connected to the set theory we learned in maths. 
2022-10-07 14.58.51,5,Beginner,3,,10,,7,,
2022-10-07 15.00.30,5,Plus,,,2,,3,,It's a bit annoying not being allowed to use a faster method like hashset for creating a set instead of using arraylist. 
2022-10-07 15.17.12,5,Regular,4,,3,,4,,
2022-10-07 15.17.25,5,Regular,3,,10,,7,,
2022-10-07 15.17.28,5,Regular,5,,4,,4,,
2022-10-07 15.17.30,5,Regular,4,,4,,6,,
2022-10-07 15.17.46,5,Regular,7,,10,,5,,
2022-10-07 15.17.59,5,Regular,4,,10,,7,,It was really hard
2022-10-07 15.17.59,5,Regular,5,,10,,3,,
2022-10-07 15.18.04,5,Regular,4,,3,,3,,
2022-10-07 15.18.18,5,Regular,5,,10,,7,Inte klar,
2022-10-07 15.18.25,5,Regular,7,,8,,3,,
2022-10-07 15.18.27,5,Regular,7,,7,,5,,
2022-10-07 15.19.09,5,Regular,6,,5,,5,,
2022-10-07 15.19.15,4,Regular,7,,10,,7,,
2022-10-07 15.19.24,5,Regular,3,I had to look up ArrayList documentation and then slowly go bald over how one would get every object to contain an array from 0 to 99,3,Most of it was on trying a solution that didn't work and reading on documentation,3,,
2022-10-07 15.19.42,5,Regular,7,,10,,7,,
2022-10-07 15.19.48,5,Regular,6,,2,,2,,
2022-10-07 15.19.52,5,Regular,6,,2,,4,,
2022-10-07 15.20.13,5,Regular,6,Arraylists är trevliga,8,Ett fel som krävde extra tid.. men fixat ,4,,
2022-10-07 15.20.23,5,Regular,1,,10,Extremely many exercises ,7,,
2022-10-07 15.20.33,5,Regular,5,,5,,5,,
2022-10-07 15.21.27,5,Regular,4,,5,,3,,
2022-10-07 15.21.56,5,Regular,5,,5,,4,,
2022-10-07 15.23.22,5,Regular,5,,8,,6,,
2022-10-07 15.28.14,5,Regular,4,,6,,4,,
2022-10-07 16.00.19,5,Regular,5,,2,,4,,
2022-10-07 16.01.32,5,Regular,5,,8,,4,,
2022-10-07 16.02.21,5,Regular,6,,4,Reading through OLI took very long and was quite confusing ,6,,
2022-10-07 16.02.27,5,Regular,6,,5,"Can include in your instructions if the methods should work for all types of sets (reversed, random order for example).",5,,
2022-10-07 16.05.13,5,Regular,7,,5,,4,,I did not see why we should have used functional overloading in the last exercise of the task. Maybe an incorrect note?
2022-10-07 16.17.59,5,Regular,6,,3,,4,,"Testa edge cases var lite oklart. Måste det göras eller inte, hur ska det göras? Ni kunde gett oss en mainmetod som vi kunde pasteat in om det vore ett krav"
2022-10-07 16.58.14,5,Beginner,4,,6,,4,,
2022-10-07 16.58.17,5,Beginner,5,,10,,7,,
2022-10-07 16.58.20,5,Beginner,4,,10,,7,,
2022-10-07 16.58.25,5,Beginner,7,,10,,6,,
2022-10-07 16.58.25,5,Beginner,5,,8,,7,,
2022-10-07 16.58.29,5,Beginner,6,,4,,3,,
2022-10-07 16.58.29,5,Beginner,4,,10,,7,,
2022-10-07 16.58.30,5,Beginner,3,,10,,7,,
2022-10-07 16.58.34,5,Beginner,6,,10,Union and intersection part was difficult without using HashSet.,7,,
2022-10-07 16.58.37,5,Beginner,5,,6,,4,,
2022-10-07 16.58.41,5,Beginner,7,,8,,5,,
2022-10-07 16.59.13,5,Beginner,5,,5,,2,,
2022-10-12 00.38.29,6,Regular,5,,7,,6,It was hard to work with different classes at the same time. I would prefer to learn more about how to work with different classes and how they interacts with each other before starting the task. I also found it hard to work with the ArrayList because we don't have a lot of experience with it.,
2022-10-13 21.34.18,6,Regular,6,,10,at least more than 10 hours,6,a wide array of things to learn for this task :),
2022-10-14 13.06.45,6,Regular,5,,4,,6,,
2022-10-14 13.07.41,6,Regular,5,Fun to figure out new things.,5,,5,,
2022-10-14 13.08.36,6,Regular,5,,6,,6,"Maybe needs more explanation about IOExceptions, try/catch statements.",
2022-10-14 13.08.51,6,Regular,6,,4,,4,,"Skriv tydligare när det ska svaras på frågor i docs, missade nästan dom.  "
2022-10-14 13.16.09,6,Regular,5,answering README,7,I/O,5,It was fun,nah
2022-10-14 13.19.01,6,Regular,4,,10,"hard to understand the Adjecent method and FIO vas hard aswell, oli provided examples but didn't find them very useful",6,se above,
2022-10-14 13.59.14,6,Beginner,7,,5,,5,,
2022-10-14 13.59.27,6,Beginner,7,,8,6.9 through 6.12,7,,
2022-10-14 13.59.33,6,Beginner,2,It was too hard to be engaging,10,"10+ hours, it was a very hard task",7,,
2022-10-14 13.59.52,6,Beginner,5,Difficult,9,,7,,
2022-10-14 13.59.55,6,Beginner,3,,10,cofusing and just didnt at all understand the second half,7,,
2022-10-14 13.59.57,6,Beginner,3,,10,,7,,
2022-10-14 14.00.17,6,Beginner,5,,6,,5,,
2022-10-14 14.00.27,6,Beginner,4,,5,,6,,
2022-10-14 14.01.24,6,Beginner,5,,7,"I thought that BiasedDice was a bit confusion. I couldn't understand what the assignment was for and how I would use it. So more information on that one, 
Same has in the Dice could first understand that is would be used in the RandomTester. 

In the RandomTester I thought that shuffle was hard to understand because I thought we couldn't use the collection.shuffle method. ",6,,
2022-10-14 14.01.28,6,Beginner,4,"I thought it was a bit long, and struggled to see how the first exercises was connected to the next. Usually it is more clear.",9,I thought some of the exercises were worded in a way that could be interpreted two ways. Even when i was done i was not sure i really did the right thing.,6,,
2022-10-14 14.03.18,6,Beginner,7,,8,,7,,"In my opinion it was just too much. There were so many different concept being introduced many of which we hadn't even covered in the lectures, there was no time to even try to understand them you just had to find the answer and then move on. The last half of the task could have just been cut and it would have been a reasonably difficult task.  "
2022-10-14 14.11.00,6,Regular,5,,5,,6,,
2022-10-14 14.12.04,6,"Beginner, Regular",4,,3,I didn't finish the filewriter things,5,,
2022-10-14 14.12.51,6,Regular,6,Very engaging allover. Many new concepts,5,Pretty much all of my time was used on the File IO part,5,"The file IO part was harder than the rest, but it was also very useful to learn about exceptions and stuff like that",
2022-10-14 14.17.32,6,Beginner,5,,8,,6,"I/O, ",ha inte jätte många nya koncept att lära sig under en uppgift
2022-10-14 15.09.41,6,"Beginner, Regular",6,,8,,6,,
2022-10-14 15.12.03,6,Regular,3,,6,,4,,
2022-10-14 15.12.07,6,Regular,5,,7,,5,,
2022-10-14 15.12.08,6,Regular,3,,4,,4,,
2022-10-14 15.12.46,6,Regular,5,,4,,4,,
2022-10-14 15.12.52,6,Regular,,,5,,5,,
2022-10-14 15.13.34,6,Regular,5,,10,More than 10,6,,
2022-10-14 15.15.08,6,Regular,,,5,,5,,
2022-10-14 15.15.26,6,Regular,5,,9,,5,,
2022-10-14 15.15.42,6,Regular,7,,10,,7,,
2022-10-14 15.16.03,6,Regular,4,,10,,7,,
2022-10-14 15.16.14,6,"Regular, Plus",7,,7,,7,,
2022-10-14 15.16.31,6,Regular,7,,10,"Unclear instructions towards the end of the task
",7,,
2022-10-14 15.21.15,6,Regular,3,,4,,4,,
2022-10-14 15.21.22,6,Regular,5,,3,,4,,
2022-10-14 15.21.52,6,Regular,5,Nope,2,Nope,4,,
2022-10-14 15.22.06,6,Regular,4,,4,,5,,
2022-10-14 15.22.12,6,Regular,6,,3,,3,,
2022-10-14 15.22.15,6,Regular,4,,10,,7,"I found it difficult, it’s a me problem :)",
2022-10-14 15.22.40,6,Regular,4,"Trying to figure out the File I/O was a bit frustrating, but that's mainly because I didn't want to read the documentation",3,,3,,
2022-10-14 15.23.36,6,Regular,5,,5,,4,,
2022-10-14 15.25.55,6,Regular,5,,3,I got stuck on 6.10 since it didn’t mention that the file should not be updated until implementing flush in 6.12,4,,
2022-10-14 15.48.21,6,Regular,5,,10,Can figure out how to make a deep copy,7,,
2022-10-14 16.10.02,6,Regular,4,,5,,4,,
2022-10-14 16.10.47,6,Regular,3,,10,,6,,
2022-10-14 16.11.40,6,Regular,7,,10,Defo more than 10,7,,
2022-10-14 16.11.54,6,Regular,6,,6,More concepts than usual that i had to search online because of them not being properly explained in the we're given to read. (My experience),5,,
2022-10-14 16.11.55,6,Regular,7,,10,I spent more hours than needed as I has severe problems with my computer. ,5,,
2022-10-14 16.13.11,6,Regular,3,"Too much reading material, just got confusing",10,Reading took a long time and experementing  with how to solve a task,6,"Difficult to know what to do, had to research old material to remember as the task presumes you've mastered previous weeks",
2022-10-14 16.15.01,6,Regular,7,writer.flush() should have been presented waaaaaay earlier. People get stuck when no text appears in the .txt file,3,The writer.flush( ) was hidden very well in the instructions,5,,
2022-10-14 16.21.35,6,Regular,5,,8,,6,,
2022-10-14 16.22.36,6,Regular,5,,7,"I feel the instructions were confusing at times, sometimes I didn't really know what I was supposed to do.",5,,
2022-10-14 17.07.18,6,Beginner,7,,8,,6,,
2022-10-14 17.20.08,6,Beginner,3,,10,"Tyckte att uppgiftsbeskrivningen på varje deltask var ganska förvirrande när man började närma sig slutet av deluppgifterna. 
Det var svårare att första vad resultat skulle vara än själva syntaxen.",7,,
2022-10-15 15.20.13,6,"Beginner, Regular",4,"working on liberies. It was boring and demotivating to ""copy"" someone elses sulotion. It was way more fun and most of all engaging but also frustrating to try to figure out how to build the logic of a shuffle function.",8,"I didnt finning all of it, only made it to about 6.6 or so.",6,"I find it dificult to understand why and how the computor ""miss interprit"" my code. and that makes debugging a long and verry hard and frustration experiense.",I thought it was a lot more vage than earlier task in the exersis desctiptions but also found that it wasn't neccesarely needed either.